Fri Mar 01 00:00:21 +0000 2019,"@granderuled @sadbhtoside no man and i don’t need to if i’m honest my emotional ass would be ......,,,,, outta here","@granderuled @sadbhtoside no man and i don’t need to if i’m honest my emotional ass would be ......,,,,, outta here"
Thu Feb 28 23:59:42 +0000 2019,@sidestoside @sadbhtoside good baby baby i’m almost done packing what the fuck we leave tomorrow to go see and rehearse on the stage what the fuck .... how r u,@sidestoside @sadbhtoside good baby baby i’m almost done packing what the fuck we leave tomorrow to go see and rehearse on the stage what the fuck .... how r u
Thu Feb 28 23:58:40 +0000 2019,@sadbhtoside ever,@sadbhtoside ever
Thu Feb 28 23:58:34 +0000 2019,@sadbhtoside don’t watch that,@sadbhtoside don’t watch that
Thu Feb 28 23:58:25 +0000 2019,@sadbhtoside oh yea i could’ve told u not to do that,@sadbhtoside oh yea i could’ve told u not to do that
Thu Feb 28 18:45:16 +0000 2019,https://t.co/AAtZPNKe5o,
Thu Feb 28 18:22:08 +0000 2019,ruuuuule the wooooorld @2chainz https://t.co/ArP3W4Hjbr,ruuuuule the wooooorld @2chainz 
Thu Feb 28 03:55:59 +0000 2019,issa flash sale btw 🌫 https://t.co/8wbV2Uvxab,issa flash sale btw  
Thu Feb 28 03:48:56 +0000 2019,good thing he’s coming along bc i ..... wouldn’t be able to leave after seein this https://t.co/vgXTIUOl4m,good thing he’s coming along bc i ..... wouldn’t be able to leave after seein this 
Wed Feb 27 23:15:36 +0000 2019,yo scott said is that ‘baby i’ https://t.co/DGLcMENuIc,yo scott said is that ‘baby i’ 
Wed Feb 27 22:44:47 +0000 2019,@needybrandon girl who’s hands ... i can’t,@needybrandon girl who’s hands ... i can’t
Wed Feb 27 21:38:15 +0000 2019,you’ll never kno,you’ll never kno
Wed Feb 27 21:02:41 +0000 2019,https://t.co/wnauBicFRQ,
Wed Feb 27 19:24:45 +0000 2019,https://t.co/6tjEivS1IH,
Wed Feb 27 19:01:51 +0000 2019,@raininjulyvinyl i saw many people discussing this so i wanted to chime in.... hope that’s okay 🖤🌫 https://t.co/7joiZwI1QS,@raininjulyvinyl i saw many people discussing this so i wanted to chime in.... hope that’s okay  
Wed Feb 27 18:17:44 +0000 2019,🖤 @iheartradio https://t.co/3uzgn4S1lA, @iheartradio 
Wed Feb 27 02:11:24 +0000 2019,ugh i love @AlfredoFlores sm,ugh i love @AlfredoFlores sm
Wed Feb 27 02:05:39 +0000 2019,@successfulag @astridsofficial @unlitfren 🖤 sure are 🌫☁️🖤,@successfulag @astridsofficial @unlitfren  sure are 
Wed Feb 27 02:02:48 +0000 2019,@astridsofficial @unlitfren for sure! however we don’t have enough power to change the security standard that is now way higher than before and rightfully so. and i KNOW you’re not questioning them or that. cause THAT...... would be wild. totally hear u tho.,@astridsofficial @unlitfren for sure! however we don’t have enough power to change the security standard that is now way higher than before and rightfully so. and i KNOW you’re not questioning them or that. cause THAT...... would be wild. totally hear u tho.
Tue Feb 26 20:55:55 +0000 2019,@arianafenty why is this me all morning i have to go,@arianafenty why is this me all morning i have to go
Tue Feb 26 20:45:30 +0000 2019,this would be allowed in tho tbh,this would be allowed in tho tbh
Tue Feb 26 20:45:02 +0000 2019,i cannot. https://t.co/zg48eStxN4,i cannot. 
Tue Feb 26 20:44:24 +0000 2019,fine. https://t.co/AEWjUv9D2O,fine. 
Tue Feb 26 20:25:27 +0000 2019,"again, u do not have to order one of these as long as your bags follow the guidelines we’ve been posting everywhere but they’re here if u need / like them 🌫 love u","again, u do not have to order one of these as long as your bags follow the guidelines we’ve been posting everywhere but they’re here if u need / like them  love u"
Tue Feb 26 20:21:58 +0000 2019,"they’re up ✉️🌫🌑 clear, venue safety approved bags for sweetener / thank u, next tour available now https://t.co/fBvTUjrT9w https://t.co/BBKvUJVrEX","they’re up  clear, venue safety approved bags for sweetener / thank u, next tour available now  "
Tue Feb 26 20:14:11 +0000 2019,@youllneverhoe @wedecideit @arixsolana @AlexxDaKid_ @grandekordei @notatxpapi love you MOREEEE,@youllneverhoe @wedecideit @arixsolana @AlexxDaKid_ @grandekordei @notatxpapi love you MOREEEE
Tue Feb 26 20:13:36 +0000 2019,@wedecideit @arixsolana @AlexxDaKid_ @grandekordei @notatxpapi ugh so bad lmao i’m sooooo on edge today i’m like laughing about it,@wedecideit @arixsolana @AlexxDaKid_ @grandekordei @notatxpapi ugh so bad lmao i’m sooooo on edge today i’m like laughing about it
Tue Feb 26 20:11:50 +0000 2019,@arixsolana @AlexxDaKid_ @grandekordei @notatxpapi never hate ! what?! jus don’t come for me when you don’t know what you’re talking ab. love you! 😌🙈,@arixsolana @AlexxDaKid_ @grandekordei @notatxpapi never hate ! what?! jus don’t come for me when you don’t know what you’re talking ab. love you! 
Tue Feb 26 20:06:13 +0000 2019,@tobeneeded nope ! they on it tho ! pls give it a few days,@tobeneeded nope ! they on it tho ! pls give it a few days
Tue Feb 26 20:05:35 +0000 2019,@borispvlikovsky @arixsolana @grandekordei @notatxpapi oh for sure fuck no,@borispvlikovsky @arixsolana @grandekordei @notatxpapi oh for sure fuck no
Tue Feb 26 20:02:02 +0000 2019,@alrightavenue @arixsolana @grandekordei @notatxpapi that song sung towards a man anyway. “you’ll believe god is a woman”... anyway. 🖤,@alrightavenue @arixsolana @grandekordei @notatxpapi that song sung towards a man anyway. “you’ll believe god is a woman”... anyway. 
Tue Feb 26 20:00:23 +0000 2019,"@arixsolana @grandekordei @notatxpapi half the people in this photo are women. also, men don’t have to be excluded in order for women to feel empowered and supported.","@arixsolana @grandekordei @notatxpapi half the people in this photo are women. also, men don’t have to be excluded in order for women to feel empowered and supported."
Tue Feb 26 19:55:50 +0000 2019,@bettreroff @onelovesbutera chris ! @/create on ig,@bettreroff @onelovesbutera chris ! @/create on ig
Tue Feb 26 19:55:20 +0000 2019,@aintnotearsleft @onelovesbutera i laughed out loud,@aintnotearsleft @onelovesbutera i laughed out loud
Tue Feb 26 19:49:34 +0000 2019,@onelovesbutera baby he does design some of merch. he’s not a distributor tho lol. there are many moving parts involved. i wish i could fix it all. it’s a lot more complicated than u think but. trust. i feel u. deeply. lol. so many phone calls. i cant.,@onelovesbutera baby he does design some of merch. he’s not a distributor tho lol. there are many moving parts involved. i wish i could fix it all. it’s a lot more complicated than u think but. trust. i feel u. deeply. lol. so many phone calls. i cant.
Tue Feb 26 18:08:15 +0000 2019,@behoeright we are one. ily.,@behoeright we are one. ily.
Tue Feb 26 17:58:06 +0000 2019,@musicnewsfact i cant w y’all,@musicnewsfact i cant w y’all
Tue Feb 26 17:54:24 +0000 2019,@needygrandy @remfatale @needymax @grandebocabae it was for sweetener but she didn’t make the cut. apparently i told you you could have it one day but i don’t recall. anyway you just got two albums so let’s circle back to this in a little. 🖤🖤🖤,@needygrandy @remfatale @needymax @grandebocabae it was for sweetener but she didn’t make the cut. apparently i told you you could have it one day but i don’t recall. anyway you just got two albums so let’s circle back to this in a little. 
Tue Feb 26 17:53:23 +0000 2019,@remfatale @needymax @grandebocabae roshad looooooooves that song,@remfatale @needymax @grandebocabae roshad looooooooves that song
Tue Feb 26 17:53:04 +0000 2019,@remfatale @needymax @grandebocabae OK I FOR SURE DIDNT MEAN IT WOW R WE GOOD,@remfatale @needymax @grandebocabae OK I FOR SURE DIDNT MEAN IT WOW R WE GOOD
Tue Feb 26 17:52:28 +0000 2019,@ghostinstyIes no 🖤,@ghostinstyIes no 
Tue Feb 26 17:51:38 +0000 2019,@needymax @grandebocabae girl i NEVER said that show me where,@needymax @grandebocabae girl i NEVER said that show me where
Tue Feb 26 17:51:04 +0000 2019,i would very much enjoy some more planet emojis next update please. i could really use a jupiter a neptune and a saturn. https://t.co/TQzQgi82PN,i would very much enjoy some more planet emojis next update please. i could really use a jupiter a neptune and a saturn. 
Tue Feb 26 17:48:41 +0000 2019,@grandebocabae yooooooooo. can u relax. 😭,@grandebocabae yooooooooo. can u relax. 
Tue Feb 26 17:37:29 +0000 2019,@joangrande YOU,@joangrande YOU
Tue Feb 26 17:19:18 +0000 2019,🌑 https://t.co/a2XsB6vF3D, 
Tue Feb 26 03:04:12 +0000 2019,"what songs from sweetener / thank u, next are u most looking forward to hearing on tour 🌫🧸 https://t.co/o6kU93oI1o","what songs from sweetener / thank u, next are u most looking forward to hearing on tour 🧸 "
Mon Feb 25 23:30:07 +0000 2019,man.... thank u sm 🌫 https://t.co/CWUcsnvzp3,man.... thank u sm  
Mon Feb 25 18:25:03 +0000 2019,love u https://t.co/WjC3OEc0pb,love u 
Mon Feb 25 18:24:23 +0000 2019,! https://t.co/U2nvqiyZJn,! 
Mon Feb 25 18:23:38 +0000 2019,i love u wayyyyy more https://t.co/IpTETPy8dz,i love u wayyyyy more 
Mon Feb 25 18:20:09 +0000 2019,we are still working on something a little more special for you guys. it takes a while to put these things together but hopefully i can tell you when i see you at pride. i love u. hope that’s alright. 🖤 https://t.co/zSsx57OQDK,we are still working on something a little more special for you guys. it takes a while to put these things together but hopefully i can tell you when i see you at pride. i love u. hope that’s alright.  
Mon Feb 25 18:15:42 +0000 2019,🐝,
Mon Feb 25 18:15:29 +0000 2019,"manchester babes, i’m so thrilled to be headlining pride. my heart. i cant wait to see u and i love u so so much.","manchester babes, i’m so thrilled to be headlining pride. my heart. i cant wait to see u and i love u so so much."
Mon Feb 25 06:03:58 +0000 2019,@MOONLlGHTMAMI @PattyLu707 it is.,@MOONLlGHTMAMI @PattyLu707 it is.
Mon Feb 25 04:38:06 +0000 2019,i love u. thanks for listeninnn. https://t.co/CLfxkYlBiS,i love u. thanks for listeninnn. 
Mon Feb 25 03:15:57 +0000 2019,us https://t.co/n5RLgpRzzJ,us 
Sun Feb 24 23:47:34 +0000 2019,@IetarianaIive we’re crying,@IetarianaIive we’re crying
Sun Feb 24 22:22:49 +0000 2019,imma keep reminding everyone and be a little annoying about it just so things go smoothly and quickly and safely. love u the most.,imma keep reminding everyone and be a little annoying about it just so things go smoothly and quickly and safely. love u the most.
Sun Feb 24 22:22:49 +0000 2019,imma keep reminding everyone and be a little annoying about it just so things go smoothly and quickly and safely. love u the most.,imma keep reminding everyone and be a little annoying about it just so things go smoothly and quickly and safely. love u the most.
Sun Feb 24 22:22:18 +0000 2019,🖤 https://t.co/1my0qx3uXC, 
Sun Feb 24 22:22:08 +0000 2019,love u https://t.co/X4qbl7fcip,love u 
Sun Feb 24 22:21:59 +0000 2019,mhmm. and there are two more options as well i believe. https://t.co/SYr6eBqcJm,mhmm. and there are two more options as well i believe. 
Sun Feb 24 22:10:57 +0000 2019,"please read if you are coming to the sweetener / thank u, next tour 🌫","please read if you are coming to the sweetener / thank u, next tour "
Sun Feb 24 22:10:19 +0000 2019,@goawaynina the grey lady,@goawaynina the grey lady
Sun Feb 24 22:07:10 +0000 2019,✉️🌫 https://t.co/eEwUuL3j7o, 
Sun Feb 24 18:26:40 +0000 2019,🌑 https://t.co/iqkh05ubgH, 
Sun Feb 24 18:24:06 +0000 2019,hey i love u. shot a bunch of shit for tour yesterday. today we back to rehearsing. but just wanted u to know how fucking over the moon excited and grateful i am. i cant wait to see u. sheesh.,hey i love u. shot a bunch of shit for tour yesterday. today we back to rehearsing. but just wanted u to know how fucking over the moon excited and grateful i am. i cant wait to see u. sheesh.
Sun Feb 24 18:22:11 +0000 2019,"i feel deeeeeeeeeeeeply attacked. also, miss u. https://t.co/lJryN3WCvU","i feel deeeeeeeeeeeeply attacked. also, miss u. "
Sat Feb 23 23:14:00 +0000 2019,"painted a picture
i thought i drew u well 🌫","painted a picture
i thought i drew u well "
Sat Feb 23 20:36:09 +0000 2019,this week in videos https://t.co/6E4YZHNN7O,this week in videos 
Sat Feb 23 03:00:29 +0000 2019,@SocialHouseTC https://t.co/poPSIVVzIx,@SocialHouseTC 
Sat Feb 23 00:39:40 +0000 2019,@arianalgbtq literally love this so much! forwarded to the squad.,@arianalgbtq literally love this so much! forwarded to the squad.
Sat Feb 23 00:29:11 +0000 2019,@Breakdownbutera the sweetest couple ! daniel and karim ! they are coming to coachella :’),@Breakdownbutera the sweetest couple ! daniel and karim ! they are coming to coachella :’)
Fri Feb 22 23:54:34 +0000 2019,paused reh to do this lullaby i promised u 🌫 lovin u - minnie riperton 🖤 https://t.co/EoiYCejOwF,paused reh to do this lullaby i promised u  lovin u - minnie riperton  
Fri Feb 22 22:35:19 +0000 2019,great place to be man https://t.co/xY7Rp99oEC,great place to be man 
Fri Feb 22 21:17:27 +0000 2019,kno that we gon be alright https://t.co/b062F6BqnJ,kno that we gon be alright 
Fri Feb 22 21:12:37 +0000 2019,cause they all lead to better days 🌑🌫🖤 https://t.co/7BICgZCFgu,cause they all lead to better days  
Fri Feb 22 19:26:15 +0000 2019,🖤 https://t.co/XlJSNem8GI, 
Fri Feb 22 19:15:58 +0000 2019,i’m sry https://t.co/qwwmayv67O,i’m sry 
Fri Feb 22 07:36:07 +0000 2019,@greedyforlove like.... do people think i think i succeeded and that i’m some kind of fucking miracle worker? fuck no. are u all insane? bruh i just wanted to try. and speak my mind. i try my best to have faith in people. as hard as it is. anyway....... goodnight.,@greedyforlove like.... do people think i think i succeeded and that i’m some kind of fucking miracle worker? fuck no. are u all insane? bruh i just wanted to try. and speak my mind. i try my best to have faith in people. as hard as it is. anyway....... goodnight.
Fri Feb 22 07:31:51 +0000 2019,@dagoodshit @crislincarnated @PhD_femme @k_illua nah it’s just important to me. i’m not tryna be misunderstood when it’s of this much importance tbh.,@dagoodshit @crislincarnated @PhD_femme @k_illua nah it’s just important to me. i’m not tryna be misunderstood when it’s of this much importance tbh.
Fri Feb 22 07:29:09 +0000 2019,"@crislincarnated @PhD_femme @k_illua nah, i was anything but complacent in our conversation that none of u heard. it saddens me that u’d assume that just because i have hope that a person can change. i won’t stop having conversations w people i disagree w when i see the opportunity to. hope u would’ve done the same.","@crislincarnated @PhD_femme @k_illua nah, i was anything but complacent in our conversation that none of u heard. it saddens me that u’d assume that just because i have hope that a person can change. i won’t stop having conversations w people i disagree w when i see the opportunity to. hope u would’ve done the same."
Fri Feb 22 07:23:08 +0000 2019,@armixerstan @k_illua @desikth in fact that’s why i sat down with him in the first place. i saw an opportunity to pick someone so opposite’s brain and try to talk some sense into them which i understand is highly unlikely but i will not apologize for trying. that’s all. 🖤,@armixerstan @k_illua @desikth in fact that’s why i sat down with him in the first place. i saw an opportunity to pick someone so opposite’s brain and try to talk some sense into them which i understand is highly unlikely but i will not apologize for trying. that’s all. 
Fri Feb 22 07:20:46 +0000 2019,@armixerstan @k_illua @desikth and we spoke about that... i am a peaceful but passionate person and i will kindly say everything on my mind to a person’s face if i have the chance. which i did. i don’t understand what is so evil about having conversations w people. in what world did i excuse what he has said?,@armixerstan @k_illua @desikth and we spoke about that... i am a peaceful but passionate person and i will kindly say everything on my mind to a person’s face if i have the chance. which i did. i don’t understand what is so evil about having conversations w people. in what world did i excuse what he has said?
Fri Feb 22 07:00:45 +0000 2019,@joangrande like ...... r u KIDDING 🖤,@joangrande like ...... r u KIDDING 
Fri Feb 22 07:00:19 +0000 2019,"@joangrande THANK U. YOU ARE SO CUTE. U CAN GO WAtch GREYS NOW BYE. GUYS, THAT’s MY MOM.....","@joangrande THANK U. YOU ARE SO CUTE. U CAN GO WAtch GREYS NOW BYE. GUYS, THAT’s MY MOM....."
Fri Feb 22 06:57:27 +0000 2019,@joangrande post the cute selfie,@joangrande post the cute selfie
Fri Feb 22 06:35:52 +0000 2019,🌫 https://t.co/eQzD7zWtKP, 
Thu Feb 21 18:56:55 +0000 2019,twenty five days til #sweetenertour 🌫 love u and we can’t wait to see u 🌑 https://t.co/CoH2vzt6zv,twenty five days til #sweetenertour  love u and we can’t wait to see u  
Thu Feb 21 18:54:39 +0000 2019,i love u so much @AllisonKaye congratufuckinglations to the baddest and most brilliant there is https://t.co/orWT1tybuP,i love u so much @AllisonKaye congratufuckinglations to the baddest and most brilliant there is 
Thu Feb 21 05:30:27 +0000 2019,@arianatooneedy yes pls,@arianatooneedy yes pls
Thu Feb 21 05:14:09 +0000 2019,@everydaysus i love u i’m hugging u,@everydaysus i love u i’m hugging u
Thu Feb 21 04:10:41 +0000 2019,@leavemelovatits i do love u. and i appreciate u. all we can do is try. and be gentle with one another. especially when we do strongly disagree on so many things. we’ll make more progress that way. at least that’s what i truly hope and believe. help is all i ever mean to do.,@leavemelovatits i do love u. and i appreciate u. all we can do is try. and be gentle with one another. especially when we do strongly disagree on so many things. we’ll make more progress that way. at least that’s what i truly hope and believe. help is all i ever mean to do.
Wed Feb 20 22:54:17 +0000 2019,@whiIewewait u cant,@whiIewewait u cant
Wed Feb 20 22:54:12 +0000 2019,@whiIewewait find the lie,@whiIewewait find the lie
Wed Feb 20 22:21:39 +0000 2019,"mom, i know you’re going to hate this post. i’m working on it i promise lol.","mom, i know you’re going to hate this post. i’m working on it i promise lol."
Wed Feb 20 22:19:03 +0000 2019,"no one:
my cancer, libra moon ass: https://t.co/MItYviuLLf","no one:
my cancer, libra moon ass: "
Wed Feb 20 21:35:21 +0000 2019,@IetarianaIive i’m sorry,@IetarianaIive i’m sorry
Wed Feb 20 21:02:52 +0000 2019,thank u for this incredible honor #brits 🌫 i love y’all so very much and can’t wait to be over there again soon https://t.co/mLVsuKzfTE,thank u for this incredible honor #brits  i love y’all so very much and can’t wait to be over there again soon 
Wed Feb 20 21:00:39 +0000 2019,uncanny actually https://t.co/t2mRktp33W,uncanny actually 
Wed Feb 20 20:55:40 +0000 2019,https://t.co/VYEGDTYs8r,
Wed Feb 20 20:54:39 +0000 2019,this is what i meant https://t.co/iE3Fxyvesx,this is what i meant 
Wed Feb 20 20:53:05 +0000 2019,@sweetenersIut we love u. everything gonna be okay.,@sweetenersIut we love u. everything gonna be okay.
Wed Feb 20 19:57:45 +0000 2019,🌑🌪🛸 https://t.co/lGzR3ZQ9PG, 
Wed Feb 20 19:52:13 +0000 2019,i love u. twenty sum days. https://t.co/k7UzmAjAwR,i love u. twenty sum days. 
Wed Feb 20 19:50:17 +0000 2019,"actually. 
no one:
me: i’m sry https://t.co/yvpL6VWntF","actually. 
no one:
me: i’m sry "
Wed Feb 20 19:47:48 +0000 2019,🖤 https://t.co/8gTf7bqBfy, 
Wed Feb 20 19:46:41 +0000 2019,fuck https://t.co/YOVet5jXIJ,fuck 
Wed Feb 20 19:45:18 +0000 2019,! https://t.co/bnmFeYyKA8,! 
Wed Feb 20 19:41:39 +0000 2019,finnafuckingly https://t.co/mmhXjr0QwA,finnafuckingly 
Wed Feb 20 19:30:54 +0000 2019,issimpossible to ignore u,issimpossible to ignore u
Wed Feb 20 19:30:06 +0000 2019,why’d u have to be so cute,why’d u have to be so cute
Wed Feb 20 09:21:02 +0000 2019,love u. ur the best. thanks for everything. https://t.co/9UeEc2AJih,love u. ur the best. thanks for everything. 
Wed Feb 20 08:45:33 +0000 2019,🖤 https://t.co/Abt0BYdQXz, 
Wed Feb 20 08:36:55 +0000 2019,"@prfctmistakes @piersmorgan well............ we bumped into each other. at a restaurant. and i decided to sit with him and we spoke for a while. i think some progress was made! turns out face to face discussions are a bit kinder and gentler, even if you do indeed disagree. :)","@prfctmistakes @piersmorgan well............ we bumped into each other. at a restaurant. and i decided to sit with him and we spoke for a while. i think some progress was made! turns out face to face discussions are a bit kinder and gentler, even if you do indeed disagree. :)"
Wed Feb 20 08:27:13 +0000 2019,@piersmorgan thank u for some laughs and some v productive conversation ! it was nice bumping into u ! #FutureFeministPiers #FingersCrossed,@piersmorgan thank u for some laughs and some v productive conversation ! it was nice bumping into u ! #FutureFeministPiers #FingersCrossed
Wed Feb 20 04:37:55 +0000 2019,@joangrande mommmmmmmmmmm 🥺,@joangrande mommmmmmmmmmm 🥺
Wed Feb 20 04:15:49 +0000 2019,https://t.co/h0goD48hz7,
Wed Feb 20 02:53:58 +0000 2019,"it’s all downhill from here, kids https://t.co/2w1MPUgmtL","it’s all downhill from here, kids "
Tue Feb 19 23:47:43 +0000 2019,@emoblackthot speak soon,@emoblackthot speak soon
Tue Feb 19 21:31:00 +0000 2019,"@emoblackthot no, rose. u can listen to ‘in my head’ in peace today.","@emoblackthot no, rose. u can listen to ‘in my head’ in peace today."
Tue Feb 19 21:08:46 +0000 2019,ever https://t.co/u9o51OvdFm,ever 
Tue Feb 19 21:05:51 +0000 2019,she has no idea what the fuck that means but i can promise it doesn’t. she LOVES it. https://t.co/DFLE9pPcIi,she has no idea what the fuck that means but i can promise it doesn’t. she LOVES it. 
Tue Feb 19 21:05:17 +0000 2019,she still refuses to wear one and can’t find anything to satisfy her https://t.co/of7GoSTlQc,she still refuses to wear one and can’t find anything to satisfy her 
Tue Feb 19 21:02:27 +0000 2019,she literally said “i’m so popular what’ve you done to me” https://t.co/TRb0BqSCha,she literally said “i’m so popular what’ve you done to me” 
Tue Feb 19 20:24:47 +0000 2019,@tbyarianagb @angeIfalls nah i don’t want pink,@tbyarianagb @angeIfalls nah i don’t want pink
Tue Feb 19 20:24:11 +0000 2019,@bocastarli no,@bocastarli no
Tue Feb 19 20:21:41 +0000 2019,@ghostiindeluxe @remdrops @iLive4_Myself tru. jus saying. that itched me. she’s my friend friend. bye tho. 🙈,@ghostiindeluxe @remdrops @iLive4_Myself tru. jus saying. that itched me. she’s my friend friend. bye tho. 
Tue Feb 19 20:20:04 +0000 2019,@angeIfalls can i just have today ? fix it for me pls i’ll change it 😭,@angeIfalls can i just have today ? fix it for me pls i’ll change it 
Tue Feb 19 20:18:41 +0000 2019,@remdrops @iLive4_Myself so much happens off the internet 🖤 and it’s all so much love too ! you’d all be so happy to know that,@remdrops @iLive4_Myself so much happens off the internet  and it’s all so much love too ! you’d all be so happy to know that
Tue Feb 19 20:17:30 +0000 2019,@iLive4_Myself i talk to her everyday u psycho,@iLive4_Myself i talk to her everyday u psycho
Tue Feb 19 20:15:33 +0000 2019,https://t.co/ScVzHGb0RV,
Tue Feb 19 20:15:08 +0000 2019,i love u https://t.co/nT1xrNqM3b,i love u 
Tue Feb 19 20:14:34 +0000 2019,it’s so funny https://t.co/foV56whEni,it’s so funny 
Tue Feb 19 20:08:04 +0000 2019,@PaulaAbdul 🖤🖤🖤🖤🖤🖤🖤🖤🖤,@PaulaAbdul 
Tue Feb 19 18:46:17 +0000 2019,sksjsjsjjs https://t.co/FEFzGaEgXi,sksjsjsjjs 
Tue Feb 19 18:30:05 +0000 2019,! https://t.co/FWzwOAw2cF,! 
Tue Feb 19 18:27:38 +0000 2019,@AlfredoFlores i love u so much skensjjsjshsbsbs what the fuck,@AlfredoFlores i love u so much skensjjsjshsbsbs what the fuck
Tue Feb 19 18:23:05 +0000 2019,love u so much it’s unimaginable,love u so much it’s unimaginable
Tue Feb 19 18:22:51 +0000 2019,i’m so grateful but it’s just all so funny to me,i’m so grateful but it’s just all so funny to me
Tue Feb 19 18:22:40 +0000 2019,this feels hilarious,this feels hilarious
Tue Feb 19 18:20:04 +0000 2019,"nonna just facetimed me and screamed “ANYTHING ELSE U WANNA DO?” my team made me this and it’s pretty so i’m posting it and also i’m so very proud and grateful for everything but i promise i’ll shut the fuck up after this. congrats team, i love u. thank u so much. https://t.co/2c3upxO9lR","nonna just facetimed me and screamed “ANYTHING ELSE U WANNA DO?” my team made me this and it’s pretty so i’m posting it and also i’m so very proud and grateful for everything but i promise i’ll shut the fuck up after this. congrats team, i love u. thank u so much. "
Tue Feb 19 17:40:43 +0000 2019,‘but wow what a moment’,‘but wow what a moment’
Tue Feb 19 17:40:03 +0000 2019,r u ok https://t.co/Z65uTfD7nI,r u ok 
Tue Feb 19 17:35:24 +0000 2019,oh shit now this ? this the best day of my life https://t.co/omiDyxFgGX,oh shit now this ? this the best day of my life 
Tue Feb 19 17:34:55 +0000 2019,still cant believe this is real fr. thanks for making history with ya girl today. and for making me feel loved. bye crying.,still cant believe this is real fr. thanks for making history with ya girl today. and for making me feel loved. bye crying.
Tue Feb 19 17:30:24 +0000 2019,i laughed when i saw this bc i thought y’all edited it. thank u from the bottom of my heart. for so many reasons. first time since the beatles huh. that’s wild. i thought this was a joke when i saw it i’m not kidding. i love u. so much. always have n will. thank u for everything. https://t.co/133Fp690fT,i laughed when i saw this bc i thought y’all edited it. thank u from the bottom of my heart. for so many reasons. first time since the beatles huh. that’s wild. i thought this was a joke when i saw it i’m not kidding. i love u. so much. always have n will. thank u for everything. 
Tue Feb 19 17:27:26 +0000 2019,what the fuck is going on,what the fuck is going on
Tue Feb 19 17:25:33 +0000 2019,wait what https://t.co/gQZokUOP9T,wait what 
Tue Feb 19 17:24:59 +0000 2019,yo what https://t.co/TKZah13tZi,yo what 
Tue Feb 19 05:40:43 +0000 2019,barreleye. she won’t be topped. https://t.co/m8GDnNJccf,barreleye. she won’t be topped. 
Tue Feb 19 04:12:55 +0000 2019,🖤,
Tue Feb 19 04:12:49 +0000 2019,a month til tour,a month til tour
Tue Feb 19 04:05:34 +0000 2019,@musicnewsfact huh,@musicnewsfact huh
Mon Feb 18 22:57:09 +0000 2019,pls continue for another twenty. actually let’s write our own. https://t.co/eJj2Vn94Vd,pls continue for another twenty. actually let’s write our own. 
Mon Feb 18 21:32:12 +0000 2019,he said imma go hang w my real friends https://t.co/L7bDVvMDVs,he said imma go hang w my real friends 
Mon Feb 18 20:59:57 +0000 2019,love u the most ever. https://t.co/i6tTJWMLQ2,love u the most ever. 
Mon Feb 18 20:04:42 +0000 2019,eleven years later or whatever 🖤 https://t.co/QxVmhkpPce,eleven years later or whatever  
Mon Feb 18 19:28:31 +0000 2019,"man, i’m so lucky and grateful to be able to sing pop music and do all of this for a living but last night made me so, unimaginably happy. i really..... am musical theater thru and thru. it’s just home n always will be. u feel me.","man, i’m so lucky and grateful to be able to sing pop music and do all of this for a living but last night made me so, unimaginably happy. i really..... am musical theater thru and thru. it’s just home n always will be. u feel me."
Mon Feb 18 18:29:15 +0000 2019,it applies https://t.co/0wzQaDfyCn,it applies 
Mon Feb 18 10:06:46 +0000 2019,missed u @LizGillies https://t.co/XKmvMrfTHG,missed u @LizGillies 
Mon Feb 18 09:51:50 +0000 2019,🖤 https://t.co/2XhcqD8lk7, 
Mon Feb 18 00:08:31 +0000 2019,! what a dream https://t.co/BX1LQ8veTi,! what a dream 
Sun Feb 17 22:04:19 +0000 2019,https://t.co/sDasGVEJYD,
Sun Feb 17 21:26:59 +0000 2019,but wow..... what a moment 🌫🦢🖤 https://t.co/K3hJaOhK6S,but wow..... what a moment 🦢 
Sun Feb 17 21:25:36 +0000 2019,ssssssssskjksjsjs. stupid. https://t.co/6KehHMUbun,ssssssssskjksjsjs. stupid. 
Sun Feb 17 20:45:13 +0000 2019,i love u sm and thank u,i love u sm and thank u
Sun Feb 17 20:43:05 +0000 2019,love u https://t.co/Zt9rIyWHj4,love u 
Sun Feb 17 20:23:25 +0000 2019,@arighostin @ar7anagrande @fairysrem @ghostinIeigh @teasybutera it’s supposed to be this is it not https://t.co/Nlng4j4Tx4,@arighostin @ar7anagrande @fairysrem @ghostinIeigh @teasybutera it’s supposed to be this is it not 
Sun Feb 17 20:22:07 +0000 2019,@ar7anagrande @fairysrem @ghostinIeigh @teasybutera im keeping it love u bye,@ar7anagrande @fairysrem @ghostinIeigh @teasybutera im keeping it love u bye
Sun Feb 17 20:21:27 +0000 2019,@fairysrem @ghostinIeigh @teasybutera ew,@fairysrem @ghostinIeigh @teasybutera ew
Sun Feb 17 20:19:20 +0000 2019,@ghostinIeigh @teasybutera yooooo 😭😭😭😭,@ghostinIeigh @teasybutera yooooo 
Sun Feb 17 20:18:29 +0000 2019,@ghostinIeigh @teasybutera be nice to me,@ghostinIeigh @teasybutera be nice to me
Sun Feb 17 20:17:42 +0000 2019,@teasybutera i’m using this grey one til further notice. i stole it from one of u i can’t remember the username.,@teasybutera i’m using this grey one til further notice. i stole it from one of u i can’t remember the username.
